Employee,Vacation start date,Vacation end date
user8@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user8@rbt.rs,"Thursday, June 17, 2021","Friday, June 18, 2021"
user8@rbt.rs,"Monday, September 6, 2021","Tuesday, September 7, 2021"
user8@rbt.rs,"Wednesday, September 8, 2021","Friday, September 17, 2021"
user9@rbt.rs,"Thursday, May 14, 2020","Friday, May 15, 2020"
user9@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user9@rbt.rs,"Monday, June 1, 2020","Monday, June 1, 2020"
user9@rbt.rs,"Monday, August 17, 2020","Friday, August 21, 2020"
user9@rbt.rs,"Monday, November 9, 2020","Monday, November 9, 2020"
user9@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user9@rbt.rs,"Friday, June 18, 2021","Monday, June 28, 2021"
user9@rbt.rs,"Monday, August 16, 2021","Friday, September 3, 2021"
user10@rbt.rs,"Tuesday, July 30, 2019","Friday, August 9, 2019"
user10@rbt.rs,"Monday, December 30, 2019","Monday, January 6, 2020"
user10@rbt.rs,"Thursday, December 19, 2019","Thursday, December 19, 2019"
user10@rbt.rs,"Thursday, February 27, 2020","Friday, February 28, 2020"
user10@rbt.rs,"Monday, March 9, 2020","Thursday, March 12, 2020"
user10@rbt.rs,"Monday, May 25, 2020","Monday, May 25, 2020"
user10@rbt.rs,"Monday, August 3, 2020","Friday, August 7, 2020"
user10@rbt.rs,"Friday, August 28, 2020","Friday, August 28, 2020"
user10@rbt.rs,"Wednesday, September 23, 2020","Wednesday, September 23, 2020"
user10@rbt.rs,"Thursday, November 5, 2020","Friday, November 6, 2020"
user10@rbt.rs,"Thursday, December 3, 2020","Thursday, December 3, 2020"
user10@rbt.rs,"Friday, January 29, 2021","Friday, February 12, 2021"
user10@rbt.rs,"Wednesday, May 5, 2021","Wednesday, May 5, 2021"
user10@rbt.rs,"Friday, May 7, 2021","Friday, May 7, 2021"
user10@rbt.rs,"Tuesday, July 13, 2021","Tuesday, July 13, 2021"
user10@rbt.rs,"Monday, August 9, 2021","Friday, August 13, 2021"
user10@rbt.rs,"Wednesday, September 1, 2021","Wednesday, September 1, 2021"
user10@rbt.rs,"Thursday, September 23, 2021","Friday, September 24, 2021"
user52@rbt.rs,"Friday, May 3, 2019","Friday, May 3, 2019"
user52@rbt.rs,"Thursday, July 11, 2019","Friday, July 19, 2019"
user52@rbt.rs,"Monday, August 26, 2019","Friday, August 30, 2019"
user52@rbt.rs,"Friday, September 27, 2019","Friday, September 27, 2019"
user52@rbt.rs,"Thursday, December 12, 2019","Friday, December 13, 2019"
user52@rbt.rs,"Thursday, February 20, 2020","Tuesday, February 25, 2020"
user52@rbt.rs,"Wednesday, February 26, 2020","Friday, February 28, 2020"
user53@rbt.rs,"Tuesday, September 10, 2019","Friday, September 13, 2019"
user53@rbt.rs,"Thursday, December 12, 2019","Friday, December 13, 2019"
user53@rbt.rs,"Thursday, March 5, 2020","Thursday, March 5, 2020"
user53@rbt.rs,"Monday, March 16, 2020","Wednesday, March 18, 2020"
user53@rbt.rs,"Thursday, May 14, 2020","Friday, May 15, 2020"
user53@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user53@rbt.rs,"Tuesday, June 2, 2020","Tuesday, June 2, 2020"
user53@rbt.rs,"Tuesday, June 30, 2020","Tuesday, June 30, 2020"
user53@rbt.rs,"Thursday, July 16, 2020","Monday, July 20, 2020"
user53@rbt.rs,"Monday, August 31, 2020","Wednesday, September 9, 2020"
user53@rbt.rs,"Thursday, September 10, 2020","Friday, September 11, 2020"
user53@rbt.rs,"Tuesday, September 22, 2020","Wednesday, September 30, 2020"
user54@rbt.rs,"Monday, July 15, 2019","Wednesday, July 31, 2019"
user54@rbt.rs,"Monday, January 6, 2020","Wednesday, January 15, 2020"
user54@rbt.rs,"Friday, July 3, 2020","Thursday, July 16, 2020"
user11@rbt.rs,"Wednesday, October 23, 2019","Monday, November 4, 2019"
user11@rbt.rs,"Friday, February 28, 2020","Friday, February 28, 2020"
user11@rbt.rs,"Monday, April 27, 2020","Thursday, April 30, 2020"
user11@rbt.rs,"Monday, May 4, 2020","Friday, May 8, 2020"
user11@rbt.rs,"Wednesday, August 19, 2020","Wednesday, August 19, 2020"
user11@rbt.rs,"Monday, September 14, 2020","Friday, September 25, 2020"
user11@rbt.rs,"Monday, January 11, 2021","Friday, January 15, 2021"
user11@rbt.rs,"Tuesday, April 6, 2021","Wednesday, April 7, 2021"
user11@rbt.rs,"Monday, November 29, 2021","Monday, November 29, 2021"
user12@rbt.rs,"Monday, March 11, 2019","Friday, March 15, 2019"
user12@rbt.rs,"Friday, February 8, 2019","Friday, February 8, 2019"
user12@rbt.rs,"Monday, February 25, 2019","Monday, February 25, 2019"
user12@rbt.rs,"Friday, July 26, 2019","Friday, August 2, 2019"
user12@rbt.rs,"Thursday, May 16, 2019","Friday, May 17, 2019"
user12@rbt.rs,"Thursday, September 5, 2019","Friday, September 6, 2019"
user12@rbt.rs,"Wednesday, October 2, 2019","Friday, October 4, 2019"
user12@rbt.rs,"Wednesday, January 15, 2020","Thursday, January 30, 2020"
user12@rbt.rs,"Friday, January 31, 2020","Friday, January 31, 2020"
user12@rbt.rs,"Monday, June 22, 2020","Monday, June 22, 2020"
user12@rbt.rs,"Monday, July 20, 2020","Friday, July 24, 2020"
user12@rbt.rs,"Monday, January 4, 2021","Monday, January 4, 2021"
user12@rbt.rs,"Tuesday, January 5, 2021","Tuesday, January 5, 2021"
user12@rbt.rs,"Thursday, December 31, 2020","Thursday, December 31, 2020"
user12@rbt.rs,"Friday, February 19, 2021","Friday, February 19, 2021"
user12@rbt.rs,"Friday, March 26, 2021","Friday, March 26, 2021"
user12@rbt.rs,"Monday, April 12, 2021","Wednesday, April 28, 2021"
user13@rbt.rs,"Monday, August 12, 2019","Friday, August 23, 2019"
user13@rbt.rs,"Wednesday, December 25, 2019","Friday, January 10, 2020"
user13@rbt.rs,"Monday, July 20, 2020","Friday, July 31, 2020"
user13@rbt.rs,"Monday, February 1, 2021","Friday, February 12, 2021"
user14@rbt.rs,"Thursday, May 23, 2019","Friday, May 24, 2019"
user14@rbt.rs,"Friday, June 7, 2019","Friday, June 7, 2019"
user14@rbt.rs,"Monday, August 12, 2019","Friday, August 16, 2019"
user14@rbt.rs,"Friday, May 8, 2020","Friday, May 8, 2020"
user14@rbt.rs,"Monday, June 1, 2020","Monday, June 1, 2020"
user14@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user14@rbt.rs,"Tuesday, September 1, 2020","Thursday, September 3, 2020"
user14@rbt.rs,"Tuesday, September 8, 2020","Friday, September 11, 2020"
user14@rbt.rs,"Friday, November 27, 2020","Friday, November 27, 2020"
user14@rbt.rs,"Monday, January 4, 2021","Tuesday, January 5, 2021"
user14@rbt.rs,"Wednesday, March 10, 2021","Friday, March 26, 2021"
user14@rbt.rs,"Monday, March 29, 2021","Wednesday, March 31, 2021"
user15@rbt.rs,"Monday, July 22, 2019","Monday, July 22, 2019"
user15@rbt.rs,"Monday, August 26, 2019","Tuesday, August 27, 2019"
user15@rbt.rs,"Friday, October 25, 2019","Friday, November 1, 2019"
user15@rbt.rs,"Tuesday, January 21, 2020","Friday, January 24, 2020"
user15@rbt.rs,"Monday, June 8, 2020","Tuesday, June 9, 2020"
user15@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user15@rbt.rs,"Monday, August 10, 2020","Friday, August 14, 2020"
user15@rbt.rs,"Friday, September 25, 2020","Friday, September 25, 2020"
user15@rbt.rs,"Monday, January 18, 2021","Tuesday, January 19, 2021"
user15@rbt.rs,"Thursday, January 21, 2021","Friday, January 22, 2021"
user15@rbt.rs,"Wednesday, May 5, 2021","Monday, May 10, 2021"
user15@rbt.rs,"Wednesday, May 26, 2021","Friday, June 4, 2021"
user15@rbt.rs,"Friday, July 9, 2021","Friday, July 9, 2021"
user15@rbt.rs,"Monday, August 9, 2021","Friday, August 13, 2021"
user15@rbt.rs,"Monday, August 30, 2021","Friday, September 3, 2021"
user47@rbt.rs,"Thursday, September 30, 2021","Thursday, September 30, 2021"
user16@rbt.rs,"Friday, July 5, 2019","Monday, July 8, 2019"
user16@rbt.rs,"Monday, July 29, 2019","Thursday, August 8, 2019"
user16@rbt.rs,"Friday, August 30, 2019","Wednesday, September 4, 2019"
user16@rbt.rs,"Monday, January 6, 2020","Friday, January 10, 2020"
user16@rbt.rs,"Friday, February 21, 2020","Friday, February 21, 2020"
user16@rbt.rs,"Monday, March 9, 2020","Friday, March 13, 2020"
user16@rbt.rs,"Friday, July 31, 2020","Friday, July 31, 2020"
user16@rbt.rs,"Wednesday, September 9, 2020","Friday, September 11, 2020"
user16@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
user16@rbt.rs,"Monday, March 8, 2021","Monday, March 8, 2021"
user16@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user16@rbt.rs,"Monday, June 14, 2021","Friday, June 18, 2021"
user16@rbt.rs,"Monday, July 26, 2021","Monday, July 26, 2021"
user16@rbt.rs,"Tuesday, July 27, 2021","Wednesday, August 4, 2021"
user16@rbt.rs,"Monday, October 4, 2021","Tuesday, October 5, 2021"
user16@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user39@rbt.rs,"Thursday, January 28, 2021","Thursday, January 28, 2021"
user39@rbt.rs,"Monday, March 29, 2021","Monday, March 29, 2021"
user39@rbt.rs,"Wednesday, May 5, 2021","Wednesday, May 5, 2021"
user39@rbt.rs,"Thursday, May 6, 2021","Friday, May 7, 2021"
user39@rbt.rs,"Thursday, June 24, 2021","Friday, June 25, 2021"
user39@rbt.rs,"Friday, July 9, 2021","Friday, July 9, 2021"
user39@rbt.rs,"Monday, August 16, 2021","Wednesday, August 25, 2021"
user39@rbt.rs,"Tuesday, October 26, 2021","Friday, October 29, 2021"
user17@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user17@rbt.rs,"Monday, September 7, 2020","Friday, September 18, 2020"
user17@rbt.rs,"Monday, June 7, 2021","Friday, June 18, 2021"
user17@rbt.rs,"Thursday, September 2, 2021","Wednesday, September 15, 2021"
user18@rbt.rs,"Monday, August 26, 2019","Friday, August 30, 2019"
user18@rbt.rs,"Monday, October 21, 2019","Monday, October 21, 2019"
user18@rbt.rs,"Friday, November 8, 2019","Friday, November 8, 2019"
user18@rbt.rs,"Monday, January 6, 2020","Friday, January 10, 2020"
user18@rbt.rs,"Friday, February 14, 2020","Friday, February 14, 2020"
user18@rbt.rs,"Monday, May 4, 2020","Monday, May 4, 2020"
user18@rbt.rs,"Thursday, May 7, 2020","Thursday, May 7, 2020"
user18@rbt.rs,"Thursday, May 28, 2020","Friday, May 29, 2020"
user18@rbt.rs,"Monday, June 29, 2020","Monday, June 29, 2020"
user18@rbt.rs,"Monday, July 20, 2020","Friday, July 31, 2020"
user18@rbt.rs,"Monday, October 5, 2020","Monday, October 5, 2020"
user18@rbt.rs,"Thursday, January 14, 2021","Friday, January 15, 2021"
user18@rbt.rs,"Monday, February 8, 2021","Monday, February 8, 2021"
user18@rbt.rs,"Tuesday, February 9, 2021","Friday, February 12, 2021"
user18@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user18@rbt.rs,"Monday, July 19, 2021","Friday, July 30, 2021"
user18@rbt.rs,"Wednesday, August 18, 2021","Wednesday, August 18, 2021"
user18@rbt.rs,"Thursday, August 26, 2021","Thursday, August 26, 2021"
user18@rbt.rs,"Thursday, October 21, 2021","Thursday, October 21, 2021"
user19@rbt.rs,"Tuesday, April 30, 2019","Tuesday, April 30, 2019"
user19@rbt.rs,"Friday, July 19, 2019","Tuesday, July 30, 2019"
user19@rbt.rs,"Monday, June 1, 2020","Friday, June 5, 2020"
user19@rbt.rs,"Thursday, May 21, 2020","Thursday, May 21, 2020"
user19@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user19@rbt.rs,"Monday, August 17, 2020","Thursday, August 27, 2020"
user19@rbt.rs,"Tuesday, January 19, 2021","Tuesday, January 19, 2021"
user19@rbt.rs,"Thursday, June 17, 2021","Wednesday, June 30, 2021"
user19@rbt.rs,"Thursday, August 19, 2021","Tuesday, August 31, 2021"
user19@rbt.rs,"Friday, November 19, 2021","Tuesday, November 30, 2021"
user20@rbt.rs,"Wednesday, November 20, 2019","Wednesday, November 20, 2019"
user20@rbt.rs,"Friday, November 22, 2019","Friday, November 22, 2019"
user20@rbt.rs,"Wednesday, January 8, 2020","Wednesday, January 8, 2020"
user20@rbt.rs,"Friday, January 31, 2020","Monday, February 3, 2020"
user20@rbt.rs,"Tuesday, February 4, 2020","Friday, February 7, 2020"
user20@rbt.rs,"Tuesday, February 18, 2020","Tuesday, February 18, 2020"
user20@rbt.rs,"Thursday, May 28, 2020","Thursday, May 28, 2020"
user20@rbt.rs,"Tuesday, August 4, 2020","Tuesday, August 4, 2020"
user20@rbt.rs,"Friday, September 11, 2020","Friday, September 11, 2020"
user20@rbt.rs,"Monday, January 11, 2021","Monday, January 11, 2021"
user20@rbt.rs,"Monday, March 15, 2021","Friday, March 19, 2021"
user20@rbt.rs,"Monday, May 10, 2021","Friday, May 14, 2021"
user20@rbt.rs,"Friday, June 4, 2021","Friday, June 4, 2021"
user20@rbt.rs,"Monday, June 7, 2021","Monday, June 7, 2021"
user20@rbt.rs,"Monday, June 14, 2021","Monday, June 14, 2021"
user20@rbt.rs,"Friday, June 18, 2021","Friday, June 18, 2021"
user20@rbt.rs,"Thursday, July 1, 2021","Thursday, July 1, 2021"
user20@rbt.rs,"Wednesday, July 21, 2021","Wednesday, July 21, 2021"
user20@rbt.rs,"Thursday, September 30, 2021","Thursday, September 30, 2021"
user20@rbt.rs,"Friday, October 15, 2021","Friday, October 15, 2021"
user21@rbt.rs,"Thursday, April 25, 2019","Friday, May 3, 2019"
user21@rbt.rs,"Monday, August 19, 2019","Friday, August 30, 2019"
user21@rbt.rs,"Monday, September 13, 2021","Friday, September 24, 2021"
user43@rbt.rs,"Thursday, September 16, 2021","Thursday, September 16, 2021"
user22@rbt.rs,"Tuesday, October 8, 2019","Tuesday, October 8, 2019"
user22@rbt.rs,"Monday, December 9, 2019","Monday, December 9, 2019"
user22@rbt.rs,"Friday, January 3, 2020","Friday, January 3, 2020"
user22@rbt.rs,"Thursday, February 6, 2020","Friday, February 7, 2020"
user22@rbt.rs,"Friday, February 21, 2020","Monday, February 24, 2020"
user22@rbt.rs,"Thursday, April 16, 2020","Thursday, April 16, 2020"
user22@rbt.rs,"Tuesday, May 19, 2020","Tuesday, May 19, 2020"
user22@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user22@rbt.rs,"Tuesday, June 16, 2020","Tuesday, June 16, 2020"
user22@rbt.rs,"Thursday, July 9, 2020","Thursday, July 9, 2020"
user22@rbt.rs,"Friday, July 31, 2020","Friday, July 31, 2020"
user22@rbt.rs,"Thursday, August 6, 2020","Friday, August 7, 2020"
user22@rbt.rs,"Monday, September 21, 2020","Monday, September 21, 2020"
user22@rbt.rs,"Wednesday, October 7, 2020","Wednesday, October 7, 2020"
user22@rbt.rs,"Friday, October 16, 2020","Friday, October 16, 2020"
user22@rbt.rs,"Monday, October 19, 2020","Tuesday, October 20, 2020"
user22@rbt.rs,"Wednesday, October 21, 2020","Friday, October 23, 2020"
user22@rbt.rs,"Wednesday, December 16, 2020","Wednesday, December 16, 2020"
user22@rbt.rs,"Monday, January 18, 2021","Friday, January 22, 2021"
user22@rbt.rs,"Thursday, March 11, 2021","Thursday, March 11, 2021"
user22@rbt.rs,"Thursday, April 29, 2021","Thursday, April 29, 2021"
user22@rbt.rs,"Monday, June 21, 2021","Thursday, July 1, 2021"
user22@rbt.rs,"Friday, July 2, 2021","Friday, July 2, 2021"
user22@rbt.rs,"Monday, August 23, 2021","Tuesday, August 31, 2021"
user63@rbt.rs,"Friday, May 3, 2019","Friday, May 3, 2019"
user63@rbt.rs,"Monday, June 3, 2019","Monday, June 3, 2019"
user63@rbt.rs,"Thursday, June 6, 2019","Monday, June 17, 2019"
user55@rbt.rs,"Thursday, May 16, 2019","Friday, May 17, 2019"
user55@rbt.rs,"Monday, July 15, 2019","Friday, July 26, 2019"
user55@rbt.rs,"Monday, September 9, 2019","Friday, September 13, 2019"
user55@rbt.rs,"Monday, December 2, 2019","Wednesday, December 4, 2019"
user55@rbt.rs,"Thursday, December 5, 2019","Friday, December 6, 2019"
user55@rbt.rs,"Wednesday, December 18, 2019","Wednesday, December 18, 2019"
user55@rbt.rs,"Tuesday, January 21, 2020","Tuesday, January 21, 2020"
user55@rbt.rs,"Thursday, March 12, 2020","Friday, March 13, 2020"
user55@rbt.rs,"Thursday, April 16, 2020","Thursday, April 16, 2020"
user55@rbt.rs,"Monday, May 11, 2020","Monday, May 11, 2020"
user55@rbt.rs,"Wednesday, June 10, 2020","Wednesday, June 10, 2020"
user55@rbt.rs,"Monday, July 20, 2020","Thursday, July 30, 2020"
user55@rbt.rs,"Wednesday, October 28, 2020","Wednesday, October 28, 2020"
user55@rbt.rs,"Friday, November 27, 2020","Friday, November 27, 2020"
user55@rbt.rs,"Monday, December 28, 2020","Wednesday, December 30, 2020"
user23@rbt.rs,"Tuesday, June 16, 2020","Friday, June 26, 2020"
user23@rbt.rs,"Friday, September 4, 2020","Friday, September 4, 2020"
user23@rbt.rs,"Monday, September 21, 2020","Monday, September 21, 2020"
